- Hey friends	79 79 79
and played The Witcher 3 for like two hours	67 67 68 68 67 76 76 76 67
But it was two glorious hours and I wouldn't have had	70 49 49 49 49 49 49 49 49 49 79
that joy had I not kind of written the day off	49 79 80 49 79 49 76 79 70 71 70
So yeah the Reitoff Principle	70 70 70 70 52
If you wanna read more about it I'll put a link	52 70 70 70 70 70 70 43 43 43 52
to my email newsletter where I talked about it first	52 52 79 79 80 77 77 52 52 52
But yeah that's point number 10	80 79 79 79 79 70
Point number 11	70 79 52
God this video's getting really long	52 52 52 52 52 52
If you're still here I apologize for being so ramble-y	52 52 52 52 52 52 52 52 52 52
I'll try and speed up	52 52 52 52 52
Point number 11 is the mundanity of excellence	52 52 52 79 79 70 70 70
And this comes from a paper that I read	70 70 70 70 70 70 70 70 70
which is from like the 1970s or 80s	70 70 70 70 70 70 70 70
You know like old	70 70 70 70
Old school like boomer level territory	70 70 70 49 49 49
Where the author talks about what defines excellence	49 52 52 52 79 43 43 71
and he studies the field of swimmers	44 49 52 49 52 79 79
So he looks at competitive swimmers in the local	79 79 79 79 52 52 79 79 49
club national and Olympic levels	50 49 70 80 79
and tries to figure out what's the difference between them	52 52 79 79 70 70 70 70 70 70
And he realizes that the difference between them	70 67 67 67 67 67 67 67
it's not a quantitative difference	67 67 70 67 67
It's not really that Michael Phelps practices that much more	67 67 67 49 49 79 79 49 79 79
than someone who's a club or a county level player	79 49 79 52 52 79 79 79 79 70
It's that the people who are at the really pro	70 70 70 70 70 70 70 70 70 70
end of the excellence spectrum	70 70 70 49 70
they do things qualitatively differently	49 70 70 70 70
And the point he makes is that it's all just very mundane	70 70 53 67 67 67 67 67 67 67 67 70
Like they actively put a bit of effort	67 67 70 71 67 67 67 67
into figuring out their technique	67 67 67 67 67
they wake up on time every day and do it	67 64 67 67 67 67 67 64 64 64
they look after their diet	67 67 67 67 64
There's nothing really sexy about the way	64 67 67 67 67 67 67
that these people get really good at stuff	67 46 49 49 49 49 49 76
It's just that they just do the mundane repeatedly	76 76 76 76 73 73 76 76 67
and just kind of do it consistently	70 79 79 76 64 65 77
And kind of reading this it's a really long paper	74 73 67 64 76 76 76 73 76 76
but I read the whole thing 'cause it was a riveting read	76 76 73 67 67 77 77 76 67 64 73 73
It made me realize that we're always	73 73 73 77 77 76 70
on the lookout for some kind of shortcut	67 76 76 67 67 76 67 79
I fall into this myself	49 40 40 67 67
I'm guilty of this spreading the good news	67 67 40 40 40 40 67 67
about the latest productivity app	67 67 70 67 67
But really the latest productivity app probably	37 41 64 64 37 50 51
isn't gonna make much difference to your life	51 51 51 51 51 51 51 51
What will make a difference to your life is just	51 51 51 51 50 49 46 46 46 40
doing the boring fundamentals repeatedly	40 67 64 37 67
and the point that this guy makes in his paper	76 76 73 73 40 40 40 67 40 40
is that excellence is ultimately a mundane phenomenon	70 70 49 41 41 67 67 67
There's nothing sexy or exciting about it	67 44 49 49 41 44 44
It's all just very mundane	71 71 71 77 41
It's all just doing the right things consistently	41 71 71 44 44 71 41 44
and trying to get a little bit better each time	44 44 50 49 49 49 49 76 76 49
But I thought it was a very interesting read	49 49 49 49 49 76 76 76 76
and a good lesson that I took away from it	79 70 70 61 40 64 64 64 64 64
Point number 12 is the Go First rule	64 67 64 64 77 67 62 67
and I first came across it--	67 67 67 67 67 67
I don't know where I came across this several years ago	67 79 79 70 70 70 61 70 41 51 51
But I've sort of ingrained it into my life	51 41 41 41 70 79 70 67 67
But it really stood out to me	67 67 70 70 70 70 70
when I was in Sudan this time last year	70 79 43 70 70 79 79 79 79
When you go to a new place you probably know	79 79 79 79 79 68 77 80 80 80
there's always that kind of little bit of	76 79 79 79 79 79 79 79
meeting new people and needing to break the ice	79 79 79 79 79 79 79 79 79
And what I read in this book	76 76 79 79 79 79 79
that I really can't remember where it's from	79 79 79 79 79 79 79 79
is that everyone is friendly	79 79 79 79 79
but you have to be willing to go first	79 79 79 79 79 79 79 79 79
Because if you go first if you take the initiative	79 79 79 79 79 79 79 70 79 50
to say hello and introduce yourself	41 71 71 76 70 71
and strike up a conversation	79 73 73 76 76
you will find that people are just generally nice	77 77 77 71 71 70 67 49 71
and everyone's really friendly	50 49 49 49
And so in Sudan for a few minutes	49 49 52 49 71 41 49 40
I was like "Ehh everyone's kinda shy."	40 70 76 76 79 71 71
"Everyone's kinda quiet."	41 76 76
"I don't really know what to do."	76 49 80 68 68 67 70
But then I started actively	70 70 70 70 70
going up to people and kinda saying hello	70 70 70 70 70 70 70 70
and just kinda generally having a chat	79 70 70 70 70 70 70
This going first that I did on my part if I can say so	70 70 79 79 79 79 79 76 77 72 72 72 70 70
I suddenly appreciated how friendly everyone was	52 52 43 34 70 67 64
and people were so happy to talk to me	64 64 64 64 64 64 67 67 67
and it was just really nice	67 67 67 67 67 64
A really really good experience	67 67 67 67 67
And I think my experience in Sudan would've been a lot	70 70 70 67 67 67 67 67 67 70 70
less fun had I not gone first with those sorts of things	70 70 70 70 70 70 70 64 67 67 67 67
And I think this just applies generally	67 64 64 64 67 70 67
across the board as well	67 67 40 40 67
When I'm at work I try and go first	79 70 70 40 40 70 70 70 68
in introducing myself to new colleagues	65 70 70 67 67 67
and kind of initiating banter a bit when I can	67 67 67 67 67 67 68 76 79 70
and inviting people to things	43 70 70 70 70
Just being able to take that fear of embarrassment	70 67 67 76 49 70 79 50 49
and internalize it within ourselves	79 52 79 49 49
and just forget about it and just go first	49 49 49 52 52 52 49 49 49
means that we see just how amazing humanity is	49 49 52 79 80 71 54 53 53
This sounds really corny	53 40 40 49
How amazing humanity is how friendly people are	49 49 49 49 49 49 49 49
and how willing people are to connect	49 49 49 49 49 49 49
as long as we go first	49 49 49 49 49 79
Point number 13: high leverage housekeeping	49 67 70 71 67 70
This is an idea that my brother came up with	70 70 76 52 79 52 67 67 67 67
which is that every Saturday what he does is that	67 67 67 71 71 70 43 43 49 49
instead of doing active work on his thing	79 76 80 71 71 49 49 49
he does what he calls high leverage housekeeping	49 49 49 49 41 41 49 52
Which is that kind of sorting out the email inbox	52 49 52 52 49 49 49 49 52 53
sorting out the to-do list cleaning the desk	53 53 76 76 67 64 76 70
sorting out the project management software	70 70 70 76 79 79
I think he uses Notion to manage and track his own startup	70 70 70 67 67 67 64 64 67 67 67 67
and figuring out what needs to be done	67 76 76 79 79 52 52 52
Spending a few hours on a Saturday	52 43 52 52 79 52 79
to just get your life in order	79 52 53 42 51 49 76
Sort of like what Amazon used to do in--	79 76 70 70 70 70 70 70 76
Apparently there was one year	79 79 70 40 76
just before they hit a billion in revenue	76 70 77 77 68 77 77 71
where the mantra for the whole year was GOHIO	67 41 68 41 41 68 68 68 67
G-O-H-I-O: getting our house in order	67 76 67 76 49 49
And the point of the whole year was to kind of focus	49 49 49 49 79 67 67 67 70 70 70 70
on the systems and make everything work really well	67 70 70 70 70 67 70 70 70
not try and create new things	70 49 49 40 49 79
And so what I try and do now is that every now and then	53 44 71 77 76 70 70 70 79 70 61 61 61 61
I try and do this weekly	61 61 61 61 61 61
But it ends up not being weekly	61 61 61 61 61 61 61
I think about having a whole day	61 61 61 61 61 61 61
dedicated to high leverage housekeeping	61 61 61 61 58
where I can do things like make decisions about what	58 58 58 61 40 70 70 49 49 49
I wanna be doing for the next weeks or the next month	49 49 44 41 41 44 43 49 49 41 41 41
or actively planning new video ideas	41 71 68 41 70 41
Whereas otherwise I'm just in kind of technician mode	52 52 52 52 52 49 49 49 46
I'm just kind of doing the thing	46 46 46 46 46 46 46
I never really take the time to step back	46 37 10 10 28 10 37 40 49
and figure out where I can apply leverage	49 49 49 49 49 49 46 37
where I can do some housekeeping to make things	40 49 43 44 50 50 50 50 50
scale better grow better be more fun	50 41 50 50 19 19 49
That sort of stuff	49 52 49 49
So high leverage housekeeping	79 79 79 52
Again link to all of these in my email newsletter	52 52 52 52 52 52 52 52 52 52
if you wanna have a read in more detail	43 43 43 52 52 52 52 52 52
Point number 14 is this idea of	52 49 41 41 41 50 50
having an inbox for your brain	49 49 49 49 52 50
And this is from David Allen's book Getting Things Done:	50 50 50 49 52 52 52 52 52 52
The Art of Stress-Free Productivity	52 52 52 52 49
which is just kind of like the bible for productivity	49 80 50 41 41 49 49 49 41 41
about how to get stuff done	49 49 49 76 76 76
But the main thing I take away from this is that	76 76 76 76 76 76 79 79 79 76 76
it's really important to have an inbox for your brain	79 80 76 79 79 67 67 67 70 76
Basically a place where you can capture ideas and things	70 70 70 67 67 67 67 67 22 22
as soon as they hit your brain so that you can then	22 22 22 50 49 49 79 70 70 70 70 70
offload them from your brain and into this inbox	70 70 67 67 70 71 44 50 49
So these days I use the app Drafts for that	49 43 43 40 40 49 40 49 49 49
So any time I have an idea for a video	49 46 49 49 67 67 70 67 67 79
or a quote or literally anything I'm thinking of	76 76 67 76 70 53 76 73 64
either on my Apple Watch or on my phone or on my Mac	64 64 64 49 49 25 25 25 22 50 46 49 76
I will open up the Drafts app	67 73 73 77 77 79 79
and just write a quick note for that	79 73 76 76 76 52 49 49
And that means that when I'm doing	49 49 49 49 49 49 46
my high leverage housekeeping	19 49 49 49
and my weekly reviews or whatever	53 51 51 51 51 40
then I can convert the Drafts items	67 67 40 49 49 49 49
either into Notion projects or into to-do list items	49 49 70 49 52 49 49 49 49
if they need to be done urgently	49 49 49 49 52 70 70
or I can just kinda file them away in my archives	70 52 52 52 25 52 52 52 52 52 52
And it's nice having this inbox for my brain	49 49 52 52 52 79 70 70 70
because it means that my brain is then	52 70 70 70 52 52 52 52
for having ideas not for storing them	43 43 43 52 25 25 25
And that's the idea that David Allen	52 52 25 25 25 52 52
talks about in his book Getting Things Done	43 43 52 52 70 70 70 67
Again link in the video description	67 70 70 70 70 70
And finally point number 15 is the power of project lists	70 70 40 49 49 49 76 70 79 52 79
So again I only really started doing this	70 70 70 40 40 40 70 71
after reading Getting Things Done for the third time	70 40 40 40 34 67 67 40 67
And the idea is that you should have a list	67 67 67 67 67 67 67 67 67 67
of all of the projects that you're currently working on	64 64 67 67 67 37 40 40 40 40
and that you want to be working on	67 31 31 28 64 64 37 37
So after reading this in the app Notion	37 64 28 40 49 19 46 49
I made like a project list of	46 49 49 49 40 40 67
all the video ideas that I might have	67 67 49 70 79 52 52 52
and all the videos that I was currently working on	52 52 52 52 52 52 52 52 52 52
And just the fact that I had all of that stuff written down	52 52 52 19 19 49 49 49 49 49 49 50 50
meant that my brain was doing this background processing	51 51 49 49 49 19 49 50 40
of these various projects as I was going about my day	40 49 49 44 41 50 49 50 52 79 79
and just not even realizing it	52 52 52 52 49 49
or even maybe when I was asleep	79 79 79 71 71 40 49
So sometimes I genuinely wake up in the morning	49 49 76 40 40 41 40 37 37
and I'd be like oh that idea for a video	64 64 64 41 41 37 37 37 37 37
that I had ages ago that I wrote down on this project list	41 41 41 37 37 37 37 40 40 46 37 40 40
I've just thought about something to make that happen	40 40 49 49 49 49 49 76 76
Or if I'm driving to work in the car	49 49 79 79 79 70 70 68 65
and listening to an audio book or listening to a podcast	73 73 73 73 76 67 76 76 76 76 64
occasionally I just have an idea that references	64 64 73 64 64 64 64 64
some of the projects that I've got on my list	64 67 67 68 68 68 76 49 49 79
and I didn't really have that	70 70 70 70 70 70
before I started writing this sort of stuff down	70 70 67 67 71 71 71 71 71
And so I'm a real big believer of having	71 70 40 43 80 80 80 71 80
a list of projects that we're working on	80 53 81 81 81 81 80 80
And that's not even in the video front	81 80 80 80 80 81 81 80
It's just kind of in life in general	80 80 80 80 80 80 80 80
And the way that David Allen defines that is that a project	80 80 80 80 80 80 70 70 70 70 70 67
is anything that has more than one step required to do it	40 67 70 79 79 79 79 79 79 79 79 79
So now I've got a whole list of projects that I'm working	70 70 70 40 50 51 51 50 52 52 49 73
and I find that that's really helpful	73 76 76 76 64 64 64
And that's been the final lesson that I learnt in 2019	64 64 67 67 70 49 37 46 46 46 71
So that was a roundup of all the things	71 71 71 71 40 37 37 70 70
that I learnt in 2019	52 79 79 67 64
In fact it wasn't all of them	64 64 64 64 64 64 64
It was like 15	64 64 67 67
Pretty much all of them I write	70 70 70 70 70 67 64
in my weekly email newsletter	64 67 67 68 41
So for all 52 of them check out Email.AliaBdaal.com	67 67 67 70 22 49 49 49 76
Link in the video description	43 79 76 52 49
You can have a look in my weekly email newsletter	49 49 41 49 49 52 79 79 79 52
You can subscribe if you like	52 52 52 52 52 70
but that is where I share all of the things	79 79 43 43 43 52 79 70 70 43
in real time as I discover them	43 52 52 52 52 79 79
But I thought I'd do this annual roundup	52 52 52 52 52 25 52 52
just 'cause a few weeks ago	52 52 52 52 52 25
I was making my annual review video and I thought	25 52 79 79 70 70 70 67 67 67
oh this is a list of 15 things	67 67 70 67 76 76 49 49
life lessons I've learnt this year	67 67 67 70 53 69
Why don't I just make it into a video	72 72 51 51 51 50 50 70 52
So that was kind of where the idea came from	52 67 76 49 49 52 49 49 67 76
Yeah thanks for watching	76 76 78 78
If you liked this video I'll put links to here	78 78 78 78 78 78 78 78 78 78
of another playlist that has similar	78 78 78 78 78 78
sort of life lessons life advice sort of stuff	78 78 78 51 78 77 49 52 79
If you liked this whole lifelong learning thing like I do	70 70 67 67 70 67 70 70 70 70 70
then please do sign up to Brilliant.org/Ali	70 67 71 70 70 71 67
That also really helps support the channel	67 67 67 67 67 70 70
So if you like this video	70 70 70 70 70 70
consider signing up for a free trial of that	61 61 61 62 61 58 58 55 55
Thanks for watching and I'll see you in the next video	55 55 55 55 55 55 55 55 55 55 58
Bye bye	67 67
(light music)	70 70
