casting director	70 50
cities they ' re doing this because they	50 80 80 80 53 53 80 80
do plumbing we say	79 79 79 79
if you ' re willing to do all of that for	49 49 49 49 49 49 49 50 50 50 41
making it at home you actually have to	70 70 70 70 79 79 79 79
like you may not fit the description of	79 79 79 79 79 79 79 79
post those auditions publicly why do	71 71 71 71 80 80
and everything because I just wanted a	50 50 50 19 19 19 19
places right so oh I ' m sorry no go ahead	41 40 41 41 41 41 41 41 41 41 41
preference I ' ve never heard of casting	47 50 50 50 77 50 79 79
particular role because	67 67 49
self taping has become an absolutely	0 80 71 41 80 41
mention is that some of the some of	40 40 40 40 40 40 40 40
There is no YouTube AdSense for podcasts	40 40 40 40 40 40 41
you learn the skills you need to break	68 68 68 68 72 72 72 72
You won ' t see any problems when you ' re 18	79 79 79 79 49 49 49 20 19 19 19 19
is roundabout $ 3 , 000 a week	58 58 59 59 59 59 59 68
And so when I ' d be studying	41 41 41 41 41 41 40 37
who wants that look at the features the	79 79 79 79 79 79 79 79
and that ' s gonna waste a lot of money so	79 79 79 79 79 79 79 79 79 79 79
insurance per year right now in order to	71 70 70 71 71 70 70 61
Vampire Diaries during its final season	71 71 71 76 79 79
both in your business and in your	49 70 70 79 49 53 80
extremely good money back guarantee so	49 40 0 0 0 0
give an audition to that actor because	50 50 50 50 50 53 53
record a self tape as a demo reel do it	49 49 49 50 50 50 49 40 40 40
they were kind of joking and laughing	26 26 26 26 26 26 53
to gain experience you ' re going to get a	80 71 71 53 53 53 41 41 68 68
we also want to make sure they can see	49 49 49 49 49 19 19 19 19
there ' s nothing wrong with playing that game	52 52 52 52 52 52 44 43 53
When you have that thought process	71 79 79 43 62 44
classes or	70 71
well here ' s what happened after the	41 41 41 41 41 41 71 44
just buying a property and leasing it	31 31 31 32 32 40 40
we ' re working on and getting feedback	79 79 79 79 79 79 79 79
promise you ' ll start on your path to you	31 31 31 31 10 20 11 21 21 0
rent it out to people all that kind of stuff	49 49 52 49 52 79 79 79 79 40
something that I ' ve worked on to try to	41 41 41 41 41 41 47 41 41 41
estate career is to get a mentor	79 79 79 79 79 79 79
or a detective who ' s sitting across the	67 67 67 67 67 67 40 40 40
you ' re saying the words back and forth	67 67 67 67 67 67 67 67 64
homes for yourself then you might not	79 79 79 79 79 79 79
decide song you make sweet the sting	77 80 80 80 80 77 77
property but the trade	79 79 79 79
You ' re gonna join all these clubs	49 49 49 49 46 49 49 76
topics we covered	76 76 76
how extravagant your life is or not	79 80 80 80 79 79 80
challenging and shows you will never be	77 71 68 68 71 71 68
shown then	67 67
as you start to do web series or student	73 64 64 76 67 67 76 76 76
and so from for an actor ' s life you know	50 50 50 46 46 46 46 46 19 46 46
should also have some type of	40 40 40 40 40 40
place outside at night or it ' s a you	71 71 71 71 71 53 53 53 53 71
that ' s going to be super exciting change	79 79 79 79 79 79 79 79 79
they look after their diet	67 67 67 67 64
know anything but i want you to	79 79 76 79 79 79 79
experiences as well as the advice of two	77 77 79 79 79 79 76 76
use all seven of these techniques to	40 64 67 67 67 67 67
the other nine that we ' ve talked about	71 62 71 71 71 71 71 41 41
research and start networking this step	70 70 70 71 71 79
something that takes ages to get going	79 67 70 70 67 67 67
I looked like an amateur actor with no clue how to make a conversation	41 49 49 49 49 49 41 41 41 41 41 41 71 71
accountant and this	80 80 80
How do I actually do that	70 70 70 76 70 70
audition for and work on both non	71 50 41 68 50 50 80
learning and i hope to see you on set	80 80 80 80 80 80 80 0 0
but hopefully this was a reasonably concise	41 41 41 41 41 40 40
should do it because i ' m not really like	79 79 79 79 79 79 79 79 79 76
theater you ' ll have	0 0 0 0 0
by bonnie gillespie	40 40 40
because generally you don ' t need to	50 49 46 49 49 49 49 49
of the way	40 43 43
button and also subscribe to my channel	61 61 61 61 61 61 61
a little recorder like this and not just	67 67 67 52 79 79 79 79
I would rather have a bit more fun by listening to music	49 52 79 76 49 44 41 79 70 41 49 49
a huge fan of shaq when he was playing	49 49 49 49 49 49 49 49 49
But you know if I think about what I want from my life	49 76 67 68 49 49 49 49 46 67 76 76 77
next booking just because you didn	73 76 76 76 76 73
will get 20 % of the annual premium	44 53 53 53 80 49 41 41
where the median kind of average salary	58 58 55 55 55 58 58
that that class setting that want the	38 49 49 37 49 49 49
gonna do that instead what i want you	40 40 40 40 49 49 49 49
and yeah sometimes you ' ll be auditioning	50 49 49 40 40 40 40 43
weeks later they called my agent and	79 76 79 79 79 79 76
are pretty low which makes it one of the	70 70 70 70 70 70 70 70 70
in terms of price	79 43 64 64
think I mean that ' s really all I wanted	46 46 49 49 49 49 49 49 49 49
valuable it was presented and they	0 0 0 0 0 52
before and I thought for some reason she	76 79 70 67 41 40 67 71
insurance is basically a policy that	71 19 0 0 0 0
or on Twitter or on social media or whatever	0 0 0 0 41 49 49 41 41
so that ' s why i think monologues are a	71 71 71 71 71 71 71 71 71 71
There were two of them themed around productivity	77 77 79 79 79 79 79 79
don ' t know what we ' re doing it ' s gonna	70 70 70 71 71 71 71 71 41 41 41 41 49
my actual booking when did i find out	79 71 41 49 49 49 49 49
after television would be film	0 0 0 0 0
you do why else would you be watching	79 79 79 76 71 71 71 71
acting career now i want to take it a	79 52 79 79 79 79 79 79 79
are three levels of making money online	76 76 76 49 49 49 49
And people usually say that your emergency fund should have	70 70 70 79 50 80 44 70 76 44
that much anyway in fact	76 77 71 71 71
mean that we don ' t have to cook	80 71 44 50 50 50 50 41 70
i consider that investing in real estate	40 40 40 32 32 32 32
rather than individual stocks	79 67 67 34
you should not be paying them a dime for	71 71 71 71 71 71 71 71 71
are three traits that i don ' t think i	79 79 79 79 79 79 79 79 79 79
and when it works for you because that	50 50 50 50 50 50 50 50
gonna be going over six steps that you	71 70 70 67 67 71 68 68
different online classes are also a lot	79 79 79 79 70 79 79
will click on that link in the description	53 27 27 53 53 81 53 53
" I ' m 14 years old and I don ' t have any money	70 70 70 70 70 70 70 70 70 70 70 70 79 79 70
is to find the lender and get a	42 43 40 40 41 40 40 41
videos on acting	71 71 71
you got an audition for a commercial and	79 79 79 79 79 70 70 70
how I became successful I started	40 40 40 49 49 40
and all the different factors you should	41 68 67 40 68 41 41
the risk that you ' re taking there is	71 68 71 71 71 71 71 71 71
you ' re like whoa the 1001 must be way	52 52 52 52 49 49 70 40 40 70
the job	79 79
to be honest this is a really tough	80 79 71 71 79 79 79 79
it ' s a real business card and it ' s got	80 80 80 80 80 80 80 80 80 80 80 80
it ' s really beneficial to live where	79 79 79 79 49 40 40 70
if you look back on that time and you think damn	79 79 76 76 76 77 76 76 76 79 76
probably don ' t have a lot of money	40 40 40 40 40 40 40 40 40
decided well this character doesn	79 79 79 79 79
post projects saying they need a web	49 49 49 49 79 79 79
The only way to make money is to provide value	70 58 58 58 58 58 58 58 59 58
And assuming you have no evergreen content of the longterm	50 50 50 49 49 76 68 76 76 76
know what you ' re doing and be a	73 79 79 79 79 79 76 80 80
to prepare for your state exam so the	22 40 40 40 40 40 40 40
but if you want to just follow along the	41 41 41 41 41 41 41 41 41
Make Time by John Zeratsky and Jake Knapp	79 70 70 79 79 79 79 79
How do I arrange it in a way that makes me feel good inside	73 73 79 76 76 76 76 76 49 40 10 49 49 79
spending some time here with me today if	71 71 71 71 71 71 71 71
by reducing the tax rates that means overall	51 51 54 51 54 51 47 73
basically we are looking for properties	70 79 70 79 71 79
cash flow calculating profit there are	40 40 40 31 31 40
training under their belt	79 79 79 79
actually cares about and they tend to	40 40 40 40 40 40 40
being on hold so definitely worth the	70 70 43 43 70 52 43
So don ' t expect to be hitting those sorts	61 61 61 61 61 61 61 58 58 58
bad right like that ' s only about twenty	71 71 71 71 71 71 79 71 70
going to be a ton of results so here in	79 79 79 67 40 40 40 40 31 31
background in a movie or you are an	0 0 0 0 0 0 0 0
cheat sheet that you can download by	41 41 41 41 41 41 41
used in other countries	41 41 41 41
so go check out cobra kai if you get a	20 77 77 41 71 71 71 71 71 71
among the first - time homebuyers it	79 79 79 79 79 79 79
on a certain date or something like that	70 79 79 79 76 79 79 79
that ' s perfectly okay just like with	52 52 52 76 76 76 76 76
making well over one million dollars	49 79 79 79 79 79
Let ' s say you ' re charging them 830 pounds a month	26 26 26 53 80 80 80 71 40 58 61 67 40
so many people helping her but she was	79 79 79 79 79 79 79 79
thanks I wanna you don ' t want to get to	49 49 49 49 49 49 49 49 49 49 49
have no problem with monologues being	49 49 49 49 50 80
allowed to	68 68
knock you know 20 doors or send out x	52 25 52 79 79 79 79 70 79
to subscribe to this channel to get more	77 77 50 71 71 71 71 71
or if I was kind of working on a video script	71 71 71 71 71 71 71 71 71 71 71
can build up that downpayment it ' s not	41 71 71 71 71 71 71 71 79
now that male actor didn ' t do anything	68 79 70 70 76 76 76 49 49
in the commercials or	51 51 81 79
steps affect you	77 80 80
And no one ' s watching your videos	43 40 49 49 49 49 76 70
have those people around you who are	49 49 49 49 49 49 79
you ' re just starting out you definitely	80 80 80 80 80 80 80 79
house so most people that buy their	79 79 79 79 79 79 79
just purely based on the choice of topic	49 49 37 31 40 40 70 80
it is so vanishingly unlikely	79 52 70 40 49
roles in the movie	79 79 79 49
somebody else but if it ' s not working	49 46 46 40 40 40 40 49 49
whether it ' s comments on my youtube	79 79 79 79 79 79 79 79
what this is is you ' re basically going	41 40 40 40 40 40 40 40 40
pinpoint okay like when i made that	79 79 79 76 79 70 79
probably know someone that has a netflix	43 70 70 70 79 79 79
them excited about your audition and	79 79 79 79 79 79
a good and a bad tenant is	31 31 41 41 41 41 41
email was literally created like	80 80 80 80 80
the film and television industry	69 69 69 69 41
too many people in your category at that	71 71 76 79 79 79 49 49
scene of a simple conversation with	76 76 76 76 76 40
so here we write either lead supporting	0 0 0 0 0 0 0
workflows and the back end of things a	79 79 79 79 79 79 79 79
one of them the other ones have to be	68 41 49 49 49 49 49 49 49
where he has clients who pay him some	58 58 58 58 58 58 58 58
exterior for this house it ' s super	52 79 52 52 79 79 79 79
And I was interviewed around the concept of starting	76 76 76 79 76 76 76 67 67
voice and movement	49 49 49
like kind of a boxing analogy I think a	77 77 80 80 80 69 69 77 76
how there are a few different modes of writing	53 70 70 70 67 67 67 67 67
for someone that you trust to	31 31 31 31 31 31
auditioning and career advice every	0 0 0 0 0
video and i think this is going to be	41 40 40 40 40 40 40 40 40
there ' s tons of natural sunlight right	80 80 80 52 52 49 80 49
examples of times when my scenes were	79 79 79 79 79 79 79
time if you practice and keep learning	49 50 41 41 41 71 71
any money that you make as an actor here	71 70 70 71 71 41 49 52 49
The window openers need to look through a window	40 31 31 49 79 79 79 79 70
with investing in stocks and shares	49 79 79 79 76 79
when you ' re just starting out you	0 0 0 0 0 0 0 0
conversation with somebody else i walked	26 53 53 53 53 53
look totally different than before I	52 43 52 79 79 79
and because i haven ' t lived in every	40 80 80 43 43 43 49 76 76
who are kindly sponsoring this video	40 40 40 40 67 58
and you ' re gonna go to all these events	79 79 79 79 80 80 80 80 77 77
you could have mid - roll ads	62 62 62 0 0 0 0
quarantine you had already started	50 49 49 49 49
and you have to actually build it which takes a lot of work	50 49 49 49 49 49 52 52 52 52 25 25 22
first picture that people see of the	43 43 52 52 52 43 13
have taken classes and you ' ve got	80 80 80 40 70 70 70 70
along the coast are scenes and the	31 40 71 71 43 68 68
to live in that property so you can see	11 3 12 11 11 10 10 10 10
have auditioned for theater and	79 79 79 79 79
the fundamentals of algorithms	76 79 79 79
looking through lions so that that	47 37 37 37 38 37
zero five percent of the loan amount if	0 0 0 0 0 0 0 0
when they find out they didn ' t book	49 49 40 70 70 70 70 70 70
have to go that far you could do	67 67 67 76 76 73 76 76
it ' s actually due because you don ' t know	40 40 40 41 49 49 50 49 49 49 49
whatever business you are	79 79 79 79
the commercial world doesn ' t use the	67 67 67 67 67 67 67 67
booked roles on the same project so this	50 71 68 71 71 67 70 79
huge long career yet but i still feel	79 79 79 79 79 79 79 79
and match the salary you need to make	49 79 80 80 80 80 80 79
here ' s another thing that you should	68 68 68 71 41 40 67 40
you can also open an investment account	41 41 40 31 1 1 31
you in the next video peace	79 79 79 79 0 0
on the day when we shot my scenes	41 41 49 49 49 49 49 49
network because your teachers and your	79 50 71 71 71 71
to take a class learn your craft I can	70 70 71 71 71 71 70 70 41
save or invest that money so with that	40 40 40 40 41 41 41 40
and have a vision have a goal	52 49 49 40 10 10 10
but the only way I would ' ve done that is	71 71 71 71 68 67 67 67 70 70 70
all know that an actor ' s headshot is	49 49 49 49 49 49 49 49 49
see you on set	79 79 79 0
this property	40 40
book your first few auditions that has	64 76 76 76 76 77 79
stress situation like a big budget	79 79 79 79 79 79
auditioning and career advice every	71 71 71 71 71
the business you can be doing plays to	71 71 71 71 80 79 79 79
to make sure the name of the file has	77 80 80 77 68 68 68 68 77
percent of the home that you actually	49 49 49 49 53 53 53
your body needs to be in a position	19 19 19 46 19 49 49 40
when i was signing up for internet	70 43 70 70 70 71 71
it ' s like well how the hell	49 49 49 19 19 19 41 41
earning it spending it investing it	70 70 70 70 70 67
than an actively managed fund	70 49 49 79 49
an agent or casting director or producer	41 40 40 40 40 40 40
and this is completely legal the second	40 40 67 43 58 40 40
certainly didn ' t hurt the next lesson	59 62 62 62 71 71 71 68
you ' re working so hard and you have	80 80 80 80 79 79 80 80 80
and definitely just don ' t rent it	79 49 49 49 49 49 40 70
protector for the iPad pro using my link	53 44 53 53 26 26 26 53
And finally point number 15 is the power of project lists	70 70 40 49 49 49 76 70 79 52 79
for a television show the final decision	79 79 79 40 40 67 67
of the population is gonna know which	41 41 41 41 49 41 41
for an acting resume is that background	0 0 0 0 0 0 0
" to 48 subscribers in two days that ' s incredible ."	67 67 64 64 64 67 67 67 67 67 67 67
thousand dollars all the way to fifty a	80 80 80 76 76 76 76 76
the value of the home	31 31 31 31 58
doesn ' t seem like much when you ' re at	40 40 40 79 79 79 71 43 43 43 79
and let ' s assume you ' re not getting any traffic	49 49 49 49 41 68 68 68 79 67 41 41
or best online broker India whichever country you ' re in	80 49 49 70 70 70 70 70 70 70 70
to verify your address	49 76 70 70
and sort of making these investment counts for themselves	70 70 70 40 70 70 70 70 70
And so for example from June 2017 up until April 2018	68 68 68 68 69 69 68 67 67 67 67
website that sells nice - looking watches	19 53 26 52 52 52 52
and if you found the video helpful make	49 49 49 49 49 49 41 41
game and know	40 31 31
what ' s up my fellow actors welcome to	0 0 0 0 0 0 0 0 0
embrace the savings mindset	79 43 79 79
It feels very grueling when you ' re there	80 76 76 76 70 70 70 70 79
having an email list especially for my	79 79 79 73 73 73 49
I had a project that I was doing	67 67 67 67 67 67 67 68
standardized patient	71 70
multiple scenes or you worked on	40 67 67 67 67 67
never gonna know about until like 10 years down the line	79 79 79 79 79 79 79 79 79 79 79
credits to your resume and add footage	77 77 68 71 71 68 41
remember this new line and then also	73 73 73 76 76 79 79
he ' s a lot bigger than I am	49 49 49 49 49 40 67 64 67
haven ' t downloaded my 10 step	41 41 41 71 71 71 71
get together with some other actors and	41 41 41 41 41 49 49
casting networks and backstage if you	70 67 70 70 41 49
auditioning and career advice every	79 76 79 79 80
started it ' s absolutely a sense	71 71 71 71 70 71 71
concept of pay to play where you need to	79 70 79 79 79 79 79 79 79
your work	50 50
get a really good sense on how they	41 10 49 49 49 49 49 49
they offer you that peace of mind what i	70 70 70 70 70 70 70 70 70
gonna be closer to the source of the	50 50 50 50 50 50 50 50
is that we could make a pretty	19 19 19 49 49 49 49
Tip number four is to actually really think	19 19 19 11 71 71 71 43
great program and it ' s great for	80 80 80 80 80 80 80 79
People are nice people are friendly	79 79 79 79 79 79
all right let ' s talk about these four	38 49 49 49 49 49 41 41 41
films student films and theater	21 1 71 68 49
getting your first little bit	40 44 41 40 41
having like a specific focus or you know	79 79 49 49 79 52 52 52
is the training from it the the building	49 71 71 70 40 40 40 58
little did I know that my plan would totally backfire	77 77 41 71 41 49 50 71 71 71
spot a phony the rule of thumb here is	71 71 71 79 79 79 79 79 79
supporting roles but let ' s just focus on	41 41 40 40 40 40 67 76 79
if you haven ' t already and leave me a	41 68 41 41 41 67 67 67 64 64
and you wanna join this journey of lifelong learning	40 40 40 37 67 67 67 40 40
casting directors say no absolutely not	70 70 61 33 40 67
and buying a house and you need money for the deposit	70 70 70 70 70 70 40 40 40 71 71
Whereas if you had those stay savings and put them	58 58 58 58 58 58 61 58 58 58
account who can share with you so	53 53 53 63 63 62 43
you that a lot of times there will be	77 77 77 76 76 76 76 76 76
on an acting resume all right moving on	0 0 0 0 0 0 0 0
which is why the audience retention graphs	21 19 19 19 67 67 67
because i didn ' t have the mental	79 79 79 79 79 79 79 79
it ' s because that whole initial appeal	49 49 49 49 49 40 49 49
them a training video of how to do their	49 31 31 31 31 31 31 31 58
The iPad video has made more money	60 59 59 60 60 63 63
There are three caveats though	58 58 58 61 40
investing in self - taping equipment is	68 68 68 68 68 68 68
experience where you	41 41 41
or thousands of dollars per year if you	79 70 70 70 40 34 34 40
minute but the first lesson that I	41 41 41 41 41 41 41
to think about and if you ' re at the	79 79 79 79 79 79 79 79 79 79
long ago 50 years ago so the bones are	76 77 76 77 77 79 79 79 79
now and when it ' s done	68 67 68 68 68 68 65
your website down in the comments or in	41 41 41 40 40 40 50 41
yourself so that you can buy and sell	79 70 70 70 70 79 79 70
guys to take a look at some of these	70 70 70 71 71 71 71 71 71
write sag - aftra right down here	0 0 0 0 0 0 0
You wanna kick people out of your room and go to bed	71 71 71 71 80 79 79 70 71 70 79 79
auditions has moved heavily towards	71 71 71 71 71
is like using a few mindset shifts	40 40 40 67 76 50 50
is to do things with your friends	53 53 68 65 65 65 65
decision for you	71 49 52
you ' re gonna use it again in the next	70 70 70 70 70 52 40 43 40 40
waste so much money buying tons and tons	41 70 61 61 70 61 61 70
this means that you ' re improving the	79 79 79 79 79 79 79 61
then you have to go to a professional	79 79 79 79 79 79 79 80
plenty of scammers out there trying to	79 71 71 71 71 70 70
your bedrooms so if you want to impress	52 79 79 79 79 79 79 79
because actors can also make money off	49 70 40 70 71 71 40
any of this stuff is to just enroll in	79 79 70 70 70 70 70 71 70
make a good	68 70 70
should turn up some acting studios in	76 79 79 79 79 79 80
acting resumes so in this video i	80 80 77 77 77 77 50
that ' s in stocks and shares is invested in index funds	79 79 79 79 79 79 79 71 79 79 79 79
rent out or buy your house so they call	79 79 79 79 79 79 79 79 79
videos at home	79 76 76
like i ' ve done with mine otherwise you	71 41 41 41 41 41 41 40 40
now anytime I get asked that tell me	41 40 67 70 70 40 71 71
some kind of value that someone else is	67 49 49 52 49 22 49 49
And then the crash happens and then by what is it	76 49 79 79 52 52 52 22 22 22 22
to get the most bang for your buck on	79 79 79 80 79 79 79 79 79
can use traditional financing you can	31 31 31 32 32 32
Inflation is generally around about the 2 %- 2 . 5 % mark	67 58 58 70 31 70 52 52 52 52 52 52 52
yourself for independent films or	80 79 71 71 71
it ' s your first time doing it	70 70 70 70 61 79 79 79
the world pretty much as long as you	49 40 0 0 1 0 0 0
she had some paying members for it initially	49 49 49 0 0 0 10 19
per year after working as a solo agent	79 79 79 79 76 76 79 79
extremely low interest	40 40 40
you can copy and paste	0 0 0 0 0
procrastinate from filming the video at 9PM after work	70 52 52 52 76 70 71 71 49
channel to get more videos on acting	80 80 80 77 77 77 77
online it ' s the one I ' ve recommend to	49 76 76 76 11 11 11 11 11 11 21
instagram or facebook or wherever	0 0 0 0 0
your credit score the average credit	70 70 70 79 79 70
And like add this little plant	61 58 67 76 76 73
underneath your statistics you have to	0 0 0 0 0 0
after we ' ve come home from a hard day of work	0 0 0 0 0 0 0 -239 0 0 0 0
crowd to help you	77 40 70 70
track every aspect of your life these	79 79 71 70 67 37 37
so if you are still in school definitely	70 70 70 79 71 71 71 71
anyway so take advantage of those take	70 49 70 71 71 71 79
and in those over 900 auditions	50 50 49 49 79 79
get in front of someone face to face so	50 50 50 50 50 50 49 49 41
follows money is a matter of functions	50 54 0 0 0 0 0
doesn ' t count as income	53 53 53 53 53 53
ways that you can do this you can just	61 70 70 70 71 43 43 43 70
parts I might be too old for some parts	71 71 41 40 40 40 40 40 40
you actually don ' t have to worry about any of that	28 28 31 31 31 31 31 31 40 40 58 61
agent costs and the misconception that	50 49 49 49 40 43
But if we look at the watch time	63 63 63 60 60 60 60 60
not your contact information you don	0 0 0 0 0 0
questions when it comes to the stuff	70 70 70 40 31 31 34
professional actor you got to understand	50 50 50 50 50 80
i ' ve actually put together	80 80 80 79 77 71
is the process that i use for all of my	41 41 41 40 40 70 40 40 71 71
college that	71 71
the crowd that ' s how you show them that	71 71 71 71 71 80 80 79 79 79
do to change that	41 41 41 41
you ' re spending hours and hours sitting	79 79 79 79 79 79 79 79
barking it all the big dogs along the	79 79 79 79 79 79 79 79
basically some type of service that	49 49 40 41 41 41
application and during that time I	40 40 40 13 40 68
that you will probably have to think	79 79 79 79 79 79 79
actor in their own country	76 76 76 76 76
and some will have multiple callbacks	70 67 40 40 71 79
one role	79 79
are for sure a scam so run the other way	71 71 71 67 76 76 79 79 79 79
Secondly you should try and develop some skills	79 79 80 70 68 81 72 72
with questions go head and use this and	71 71 71 71 71 49 49 49
then just go with the cheaper one you	43 52 52 79 79 79 49 49
McDonald ' s because those are competing	49 49 49 49 41 41 41
to your two that means go stand over on	44 44 43 52 53 53 71 71 71
here in the united states okay so the	71 71 71 71 71 50 41 41
necessarily true story and generic brand	79 79 70 43 79 79
a small market so when you live in a	80 80 71 50 80 80 80 80 80
performer records it on their own and	50 49 40 70 70 67 64
in acting from a college or a university	71 79 49 79 79 79 79 80
especially especially people	71 71 77
auditions for all kinds of opportunities	41 41 41 41 41 71
mark and then you ' re gonna do all of	40 40 40 49 49 49 50 49 50 50
is that it is not the casting director	67 70 70 70 70 70 70 70
pays lenders and banks for losses due to	0 0 0 0 0 0 0 0
need to track the things that will	52 79 79 79 79 79 79
so those were three ways to show an	76 76 76 80 80 80 76 79
the 30 for 30 I ' m gonna put a link to	41 41 41 41 41 41 41 41 41 41 41 14
When you were in school then the game was very much	79 79 79 79 79 79 79 79 79 79 79
beforehand right we worked on our lines	79 79 79 76 79 79 79
to see you can also browse publicly	70 50 80 71 41 71 41
could just be paying a few thousand	79 79 70 71 79 79 79
exam and get your certificate	40 49 49 49 50
of all of the benefits of lifelong adult learning	67 67 67 67 70 70 49 52 52
so that they can be the best that they	71 71 70 76 76 76 76 76 76
or some kind of software product that you can offer	70 70 70 52 79 49 49 40 70 70
of the business	79 79 71
commonly used for actors	67 67 70 70
So sometimes those are ads	0 0 0 0 0
think about how much money you spend	52 43 79 0 0 3 11
made all right that ' s it for today	71 71 71 71 71 71 71 71 71
whereas if you move to a market like	70 67 67 40 68 71 68 76
the type of job that ' s where you might	70 70 43 40 41 41 41 41 40 40
To use my example I made 70 videos	80 79 79 52 52 52 52 79
do these extra projects to make yourself a bit	50 80 80 80 79 79 79 79 79
higher monthly payment alright number	79 70 71 71 16
into the overall loan so basically that	0 0 0 0 70 61 61
this happens sometimes because the	67 41 71 71 67
there ' s something wrong on a set or you	50 50 50 50 49 49 49 49 49 49
the united states	71 41 41
one side and then flip it over and print	76 79 76 79 76 76 76 4 79
good amount of	28 1 31
dollars that day	71 71 71
we ' re dropping off to about maybe only one in four	71 71 71 71 71 71 71 71 71 71 71 71
that you will guarantee you can turn	41 41 41 41 71 71 71
will get 20 % off the annual premium description	1 2 2 2 1 1 1 1 1
audition does guarantee that you won	0 0 0 0 0 0
name of the director so as we see	0 0 0 0 0 0 0 0
there are things like podcasts	71 71 40 41 41
important thing for any real estate	79 79 79 79 79 79
tell me anything if I download that to	49 49 49 76 64 67 67 67
the three columns here are again the	0 0 0 0 0 0 0
a deal to put your height on your resume	0 0 0 0 0 0 0 0 0
colleagues when you ' re all of working together	50 49 49 49 49 49 49 52 70
and that would definitely make it a	31 40 40 43 40 71 43
ability because	41 40
help me memorize my lines is to record	41 41 71 67 67 40 70 70
We run like three or four events per week	58 58 58 59 59 59 58 58 58
way to become eligible is to get	71 71 71 68 68 68 68
believable and compelling fashion but I	31 32 41 41 41 49
9 : 00 to 5 : 00 p . m . you put in however	58 58 58 40 67 67 67 67 67 67 67 67 67 67 67
charge you a fee another way is to go	71 40 40 40 79 79 79 70 70
and these laminate luxury vinyl floors	79 79 79 79 79 79
have a super interesting story to tell	49 49 71 71 71 71 71
good man so my last letter my last	40 41 49 49 22 19 19 50
countertop look a lot newer so yeah a	79 79 79 79 79 79 79 49
don ' t have to go intense like super	46 46 46 19 46 19 19 46 49
you will never be caught without a	49 49 49 49 49 52 79
for you to get your first client if	79 79 79 79 79 79 79 79
I ' m also a recent first - time homebuyer	79 79 79 79 79 79 79 79 79 79
" It ' s 11 o ' clock at night	49 49 49 49 40 40 40 40 40 41
controlling your controllables which are	67 70 40 41 41
room in my condo i was still paying out	79 79 79 70 40 43 61 31 70
on your scene partner so that you can	50 50 50 50 50 50 47 38
I ' ve got a friend who runs an Instagram	70 70 70 58 31 31 62 63 63 62
I don ' t like this identity that that	46 46 46 46 46 46 46 46 46
personally like about myself and it was	40 49 49 49 46 40 40
couple of reasons number one	79 76 76 76 76
editing if you want you can check out my	0 0 0 0 0 0 0 0 21
space feel a lot more open a lot bigger	49 49 49 49 49 49 79 79 52
you don ' t know what to do next	79 79 79 79 79 79 79 79 49
non - union and a production can also be	71 71 71 40 40 70 70 70 43
basically consists of a bunch of slides	40 31 40 64 67 67 67
all the time it ' s important to spend	79 79 79 79 79 79 79 79 79
employer you can put in 25	31 31 31 31 31 31
agencies and only a	67 67 67 67
you ' re going to be subject to capital	19 19 19 19 19 19 19 19 19
percent of the time when I get an	70 70 70 70 70 70 70 71
and experience under my belt I make over	40 41 49 49 50 49 22 50
are very into the environment and by an	41 41 41 41 41 41 41 41
was it was very early on in my	49 49 49 49 49 50 50 50
annual operating expenses so these are	1 1 1 1 1 1
this is really one of the best ways for	70 70 79 49 49 49 79 79 79
of what house hacking is house hacking	49 76 79 79 71 0 0
home buying process one thing i want to	71 71 40 44 41 41 43 43
has been taking acting classes it is	77 77 80 80 76 77 50
theater either alone or in conjunction	67 76 76 41 41 50
a big time actor i have to make my	64 64 64 64 71 68 71 71 71
spending some time here with me today	68 71 71 71 71 71 71
movies and television shows that we call	49 52 52 49 49 49 49
any education expenses if you ' re an	40 40 40 49 49 49 49 76
medical school being a doctor podcast	71 40 40 40 40 40
there ' s no point climbing up a ladder	38 38 38 68 68 59 59 59 59
booking some of these auditions that	79 79 79 79 79 79
though this isn ' t part of your actual	79 79 79 79 79 79 49 49 49
materials some free study exam questions	40 40 40 40 67 40
then they get an idea of your abilities	73 73 73 76 76 64 70 73
and then finally i think the last thing	71 71 71 71 71 71 71 71
science and with a little bit of	79 79 79 79 79 79 76
steps that it takes to cast a role in a	76 67 67 76 73 76 76 76 40 41
going to make you stand out like a sore	79 79 79 79 79 79 79 79 79
Point number 13 please please please stop worrying	61 61 61 62 61 62 62 62
production a zero cost of reproduction	0 0 0 0 0 50
Well it ' s good for a lot of reasons	76 76 76 76 79 79 79 79 79 79
what ' s the difference okay well if you	79 79 79 79 79 71 71 71 71
know getting rich by making money on the	0 0 0 0 0 0 0 0
already you definitely want to subscribe	26 53 53 41 41 71
this so I don ' t get super sweaty or	49 49 49 49 49 49 49 49 49 49
Well I ' m gonna give this a two out of five stars	49 49 49 49 49 41 41 41 72 44 41 71 71
But to make $ 100 a month	49 49 49 52 52 52 52
fha loan is better for people with a	41 41 41 40 40 40 49 49
later that day so i think the callback	71 71 71 71 71 70 67 68
say that for a $ 500 , 000 home you are	71 71 71 0 0 0 0 0 0 0 0
out from the lecture notes anyway	61 61 61 61 61 61
so that you ' ll be sent an email	73 73 73 73 73 76 76 76 76
be something that you ' d be	41 41 41 41 41 41 41
him all the time on inside the nba on tv	49 41 41 71 71 71 71 71 71 71
10 - step audition preparation process	80 80 80 80 77 77
